,Name of movie,vote,gross,Genre,star,Certificate
0,The Dark Knight,"2,758,917",$534.86M," Action, Crime, Drama            ","['Christian Bale, ', 'Heath Ledger, ', 'Aaron Eckhart, ', 'Michael Caine', '']",UA
1,The Lord of the Rings: The Return of the King,"1,906,233",$377.85M," Action, Adventure, Drama            ","['Elijah Wood, ', 'Viggo Mortensen, ', 'Ian McKellen, ', 'Orlando Bloom', '']",U
2,Spider-Man: Across the Spider-Verse,"206,468",_," Animation, Action, Adventure            ","['| ', '    Stars:', 'Shameik Moore, ', 'Hailee Steinfeld, ', 'Brian Tyree Henry, ']",U
3,Inception,"2,449,278",$292.58M," Action, Adventure, Sci-Fi            ","['Leonardo DiCaprio, ', 'Joseph Gordon-Levitt, ', 'Elliot Page, ', 'Ken Watanabe', '']",UA
4,The Lord of the Rings: The Fellowship of the Ring,"1,934,425",$315.54M," Action, Adventure, Drama            ","['Elijah Wood, ', 'Ian McKellen, ', 'Orlando Bloom, ', 'Sean Bean', '']",U
5,The Lord of the Rings: The Two Towers,"1,720,128",$342.55M," Action, Adventure, Drama            ","['Elijah Wood, ', 'Ian McKellen, ', 'Viggo Mortensen, ', 'Orlando Bloom', '']",UA
6,The Matrix,"1,978,806",$171.48M," Action, Sci-Fi            ","['    Stars:', 'Keanu Reeves, ', 'Laurence Fishburne, ', 'Carrie-Anne Moss, ', 'Hugo Weaving']",A
7,Star Wars: Episode V - The Empire Strikes Back,"1,334,656",$290.48M," Action, Adventure, Fantasy            ","['Mark Hamill, ', 'Harrison Ford, ', 'Carrie Fisher, ', 'Billy Dee Williams', '']",UA
8,Soorarai Pottru,"120,272",_," Action, Drama            ","['Suriya, ', 'Paresh Rawal, ', 'Urvashi, ', 'Aparna Balamurali', '']",U
9,Terminator 2: Judgment Day,"1,135,330",$204.84M," Action, Sci-Fi            ","['Arnold Schwarzenegger, ', 'Linda Hamilton, ', 'Edward Furlong, ', 'Robert Patrick', '']",A
10,Star Wars,"1,406,687",$322.74M," Action, Adventure, Fantasy            ","['Mark Hamill, ', 'Harrison Ford, ', 'Carrie Fisher, ', 'Alec Guinness', '']",U
11,Shichinin no samurai,"356,113",$0.27M," Action, Drama            ","['Toshirô Mifune, ', 'Takashi Shimura, ', 'Keiko Tsushima, ', 'Yukiko Shimazaki', '']",U
12,Seppuku,"62,768",_," Action, Drama, Mystery            ","['Tatsuya Nakadai, ', 'Akira Ishihama, ', 'Shima Iwashita, ', 'Tetsurô Tanba', '']",0
13,Sita Ramam,"61,883",_," Action, Drama, Mystery            ","['Dulquer Salmaan, ', 'Mrunal Thakur, ', 'Rashmika Mandanna, ', 'Sumanth', '']",U
14,Gladiator,"1,552,425",$187.71M," Action, Adventure, Drama            ","['Russell Crowe, ', 'Joaquin Phoenix, ', 'Connie Nielsen, ', 'Oliver Reed', '']",UA
15,Léon,"1,202,153",$19.50M," Action, Crime, Drama            ","['Jean Reno, ', 'Gary Oldman, ', 'Natalie Portman, ', 'Danny Aiello', '']",A
